-----------------------------------------------------------------------
Generation 51

Pacman N°1
[Node 15 | Parent : 9 | Child : R | Depth : 8 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 23 | Parent : 22 | Child : L | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 24 | Parent : 22 | Child : R | Depth : 8 | IfNode | Tester : CheckGhostUpToPacman]
[Node 11 | Parent : 10 | Child : L | Depth : 9 | IfNode | Tester : CheckPacgumIsClose]
[Node 14 | Parent : 10 | Child : R | Depth : 9 | TerminalNode | Direction : UP]
[Node 16 | Parent : 15 | Child : L | Depth : 9 | IfNode | Tester : CheckWallDownToPacman]
[Node 19 | Parent : 15 | Child : R | Depth : 9 | IfNode | Tester : CheckWallLeftToPacman]
[Node 25 | Parent : 24 | Child : L | Depth : 9 | TerminalNode | Direction : UP]
[Node 26 | Parent : 24 | Child : R | Depth : 9 | TerminalNode | Direction : RIGHT]
[Node 12 | Parent : 11 | Child : L | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 13 | Parent : 11 | Child : R | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 17 | Parent : 16 | Child : L | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 18 | Parent : 16 | Child : R | Depth : 10 | TerminalNode | Direction : RIGHT]
[Node 20 | Parent : 19 | Child : L | Depth : 10 | TerminalNode | Direction : RIGHT]
[Node 21 | Parent : 19 | Child : R | Depth : 10 | TerminalNode | Direction : RIGHT]
************************************************************************
Pacman N°58
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckWallDownToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckGhostDownToPacman]
[Node 35 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckGhostIsClose]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | TerminalNode | Direction : LEFT]
[Node 4 | Parent : 2 | Child : R | Depth : 2 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 36 | Parent : 35 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostUpToPacman]
[Node 39 | Parent : 35 | Child : R | Depth : 2 | TerminalNode | Direction : RIGHT]
[Node 5 | Parent : 4 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 6 | Parent : 4 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostDownToPacman]
[Node 37 | Parent : 36 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 38 | Parent : 36 | Child : R | Depth : 3 | TerminalNode | Direction : LEFT]
[Node 7 | Parent : 6 | Child : L | Depth : 4 | IfNode | Tester : CheckPacgumIsClose]
[Node 32 | Parent : 6 | Child : R | Depth : 4 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 8 | Parent : 7 | Child : L | Depth : 5 | IfNode | Tester : CheckWallDownToPacman]
[Node 25 | Parent : 7 | Child : R | Depth : 5 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 33 | Parent : 32 | Child : L | Depth : 5 | TerminalNode | Direction : UP]
[Node 34 | Parent : 32 | Child : R | Depth : 5 | TerminalNode | Direction : LEFT]
[Node 9 | Parent : 8 | Child : L | Depth : 6 | IfNode | Tester : CheckGhostDownToPacman]
[Node 18 | Parent : 8 | Child : R | Depth : 6 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 26 | Parent : 25 | Child : L | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 27 | Parent : 25 | Child : R | Depth : 6 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 10 | Parent : 9 | Child : L | Depth : 7 | IfNode | Tester : CheckPacgumIsClose]
[Node 17 | Parent : 9 | Child : R | Depth : 7 | TerminalNode | Direction : UP]
[Node 19 | Parent : 18 | Child : L | Depth : 7 | IfNode | Tester : CheckWallDownToPacman]
[Node 22 | Parent : 18 | Child : R | Depth : 7 | IfNode | Tester : CheckWallLeftToPacman]
[Node 28 | Parent : 27 | Child : L | Depth : 7 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 31 | Parent : 27 | Child : R | Depth : 7 | TerminalNode | Direction : LEFT]
[Node 11 | Parent : 10 | Child : L | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 12 | Parent : 10 | Child : R | Depth : 8 | IfNode | Tester : CheckGhostDownToPacman]
[Node 20 | Parent : 19 | Child : L | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 21 | Parent : 19 | Child : R | Depth : 8 | TerminalNode | Direction : RIGHT]
[Node 23 | Parent : 22 | Child : L | Depth : 8 | TerminalNode | Direction : UP]
[Node 24 | Parent : 22 | Child : R | Depth : 8 | TerminalNode | Direction : RIGHT]
[Node 29 | Parent : 28 | Child : L | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 30 | Parent : 28 | Child : R | Depth : 8 | TerminalNode | Direction : LEFT]
[Node 13 | Parent : 12 | Child : L | Depth : 9 | IfNode | Tester : CheckPacgumIsClose]
[Node 16 | Parent : 12 | Child : R | Depth : 9 | TerminalNode | Direction : UP]
[Node 14 | Parent : 13 | Child : L | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 15 | Parent : 13 | Child : R | Depth : 10 | TerminalNode | Direction : LEFT]
************************************************************************
Pacman N°59
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckWallDownToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckGhostDownToPacman]
[Node 9 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckGhostIsClose]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | IfNode | Tester : CheckPacgumIsClose]
[Node 8 | Parent : 2 | Child : R | Depth : 2 | TerminalNode | Direction : RIGHT]
[Node 10 | Parent : 9 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostUpToPacman]
[Node 121 | Parent : 9 | Child : R | Depth : 2 | TerminalNode | Direction : LEFT]
[Node 4 | Parent : 3 | Child : L | Depth : 3 | TerminalNode | Direction : LEFT]
[Node 5 | Parent : 3 | Child : R | Depth : 3 | IfNode | Tester : CheckGhostIsClose]
[Node 11 | Parent : 10 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 12 | Parent : 10 | Child : R | Depth : 3 | IfNode | Tester : CheckWallDownToPacman]
[Node 6 | Parent : 5 | Child : L | Depth : 4 | TerminalNode | Direction : UP]
[Node 7 | Parent : 5 | Child : R | Depth : 4 | TerminalNode | Direction : RIGHT]
[Node 13 | Parent : 12 | Child : L | Depth : 4 | IfNode | Tester : CheckGhostDownToPacman]
[Node 116 | Parent : 12 | Child : R | Depth : 4 | IfNode | Tester : CheckGhostIsClose]
[Node 14 | Parent : 13 | Child : L | Depth : 5 | IfNode | Tester : CheckPacgumIsClose]
[Node 113 | Parent : 13 | Child : R | Depth : 5 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 117 | Parent : 116 | Child : L | Depth : 5 | IfNode | Tester : CheckGhostUpToPacman]
[Node 120 | Parent : 116 | Child : R | Depth : 5 | TerminalNode | Direction : UP]
[Node 15 | Parent : 14 | Child : L | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 16 | Parent : 14 | Child : R | Depth : 6 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 114 | Parent : 113 | Child : L | Depth : 6 | TerminalNode | Direction : RIGHT]
[Node 115 | Parent : 113 | Child : R | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 118 | Parent : 117 | Child : L | Depth : 6 | TerminalNode | Direction : UP]
[Node 119 | Parent : 117 | Child : R | Depth : 6 | TerminalNode | Direction : RIGHT]
[Node 17 | Parent : 16 | Child : L | Depth : 7 | TerminalNode | Direction : LEFT]
[Node 18 | Parent : 16 | Child : R | Depth : 7 | IfNode | Tester : CheckWallUpToPacman]
[Node 19 | Parent : 18 | Child : L | Depth : 8 | IfNode | Tester : CheckWallRightToPacman]
[Node 34 | Parent : 18 | Child : R | Depth : 8 | IfNode | Tester : CheckWallDownToPacman]
[Node 20 | Parent : 19 | Child : L | Depth : 9 | TerminalNode | Direction : LEFT]
[Node 21 | Parent : 19 | Child : R | Depth : 9 | IfNode | Tester : CheckWallDownToPacman]
[Node 35 | Parent : 34 | Child : L | Depth : 9 | IfNode | Tester : CheckGhostDownToPacman]
[Node 108 | Parent : 34 | Child : R | Depth : 9 | IfNode | Tester : CheckGhostIsClose]
[Node 22 | Parent : 21 | Child : L | Depth : 10 | IfNode | Tester : CheckGhostRightToPacman]
[Node 33 | Parent : 21 | Child : R | Depth : 10 | TerminalNode | Direction : UP]
[Node 36 | Parent : 35 | Child : L | Depth : 10 | IfNode | Tester : CheckPacgumIsClose]
[Node 105 | Parent : 35 | Child : R | Depth : 10 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 109 | Parent : 108 | Child : L | Depth : 10 | IfNode | Tester : CheckGhostUpToPacman]
[Node 112 | Parent : 108 | Child : R | Depth : 10 | TerminalNode | Direction : LEFT]
[Node 23 | Parent : 22 | Child : L | Depth : 11 | IfNode | Tester : CheckWallDownToPacman]
[Node 26 | Parent : 22 | Child : R | Depth : 11 | IfNode | Tester : CheckGhostIsClose]
[Node 37 | Parent : 36 | Child : L | Depth : 11 | TerminalNode | Direction : LEFT]
[Node 38 | Parent : 36 | Child : R | Depth : 11 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 106 | Parent : 105 | Child : L | Depth : 11 | TerminalNode | Direction : RIGHT]
[Node 107 | Parent : 105 | Child : R | Depth : 11 | TerminalNode | Direction : LEFT]
[Node 110 | Parent : 109 | Child : L | Depth : 11 | TerminalNode | Direction : UP]
[Node 111 | Parent : 109 | Child : R | Depth : 11 | TerminalNode | Direction : RIGHT]
[Node 24 | Parent : 23 | Child : L | Depth : 12 | TerminalNode | Direction : DOWN]
[Node 25 | Parent : 23 | Child : R | Depth : 12 | TerminalNode | Direction : UP]
[Node 27 | Parent : 26 | Child : L | Depth : 12 | IfNode | Tester : CheckWallDownToPacman]
[Node 30 | Parent : 26 | Child : R | Depth : 12 | IfNode | Tester : CheckWallDownToPacman]
[Node 39 | Parent : 38 | Child : L | Depth : 12 | TerminalNode | Direction : LEFT]
[Node 40 | Parent : 38 | Child : R | Depth : 12 | IfNode | Tester : CheckWallUpToPacman]
[Node 28 | Parent : 27 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 29 | Parent : 27 | Child : R | Depth : 13 | TerminalNode | Direction : DOWN]
[Node 31 | Parent : 30 | Child : L | Depth : 13 | TerminalNode | Direction : LEFT]
[Node 32 | Parent : 30 | Child : R | Depth : 13 | TerminalNode | Direction : UP]
[Node 41 | Parent : 40 | Child : L | Depth : 13 | IfNode | Tester : CheckWallRightToPacman]
[Node 100 | Parent : 40 | Child : R | Depth : 13 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 42 | Parent : 41 | Child : L | Depth : 14 | TerminalNode | Direction : LEFT]
[Node 43 | Parent : 41 | Child : R | Depth : 14 | IfNode | Tester : CheckWallDownToPacman]
[Node 101 | Parent : 100 | Child : L | Depth : 14 | TerminalNode | Direction : UP]
[Node 102 | Parent : 100 | Child : R | Depth : 14 | IfNode | Tester : CheckWallDownToPacman]
[Node 44 | Parent : 43 | Child : L | Depth : 15 | IfNode | Tester : CheckGhostRightToPacman]
[Node 77 | Parent : 43 | Child : R | Depth : 15 | IfNode | Tester : CheckWallLeftToPacman]
[Node 103 | Parent : 102 | Child : L | Depth : 15 | TerminalNode | Direction : LEFT]
[Node 104 | Parent : 102 | Child : R | Depth : 15 | TerminalNode | Direction : UP]
[Node 45 | Parent : 44 | Child : L | Depth : 16 | IfNode | Tester : CheckWallDownToPacman]
[Node 48 | Parent : 44 | Child : R | Depth : 16 | IfNode | Tester : CheckWallRightToPacman]
[Node 78 | Parent : 77 | Child : L | Depth : 16 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 81 | Parent : 77 | Child : R | Depth : 16 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 46 | Parent : 45 | Child : L | Depth : 17 | TerminalNode | Direction : DOWN]
[Node 47 | Parent : 45 | Child : R | Depth : 17 | TerminalNode | Direction : LEFT]
[Node 49 | Parent : 48 | Child : L | Depth : 17 | TerminalNode | Direction : UP]
[Node 50 | Parent : 48 | Child : R | Depth : 17 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 79 | Parent : 78 | Child : L | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 80 | Parent : 78 | Child : R | Depth : 17 | TerminalNode | Direction : DOWN]
[Node 82 | Parent : 81 | Child : L | Depth : 17 | IfNode | Tester : CheckWallDownToPacman]
[Node 99 | Parent : 81 | Child : R | Depth : 17 | TerminalNode | Direction : RIGHT]
[Node 51 | Parent : 50 | Child : L | Depth : 18 | IfNode | Tester : CheckWallDownToPacman]
[Node 64 | Parent : 50 | Child : R | Depth : 18 | IfNode | Tester : CheckWallLeftToPacman]
[Node 83 | Parent : 82 | Child : L | Depth : 18 | IfNode | Tester : CheckGhostDownToPacman]
[Node 94 | Parent : 82 | Child : R | Depth : 18 | IfNode | Tester : CheckGhostIsClose]
[Node 52 | Parent : 51 | Child : L | Depth : 19 | IfNode | Tester : CheckWallRightToPacman]
[Node 63 | Parent : 51 | Child : R | Depth : 19 | TerminalNode | Direction : RIGHT]
[Node 65 | Parent : 64 | Child : L | Depth : 19 | IfNode | Tester : CheckWallDownToPacman]
[Node 72 | Parent : 64 | Child : R | Depth : 19 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 84 | Parent : 83 | Child : L | Depth : 19 | IfNode | Tester : CheckPacgumIsClose]
[Node 91 | Parent : 83 | Child : R | Depth : 19 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 95 | Parent : 94 | Child : L | Depth : 19 | IfNode | Tester : CheckGhostUpToPacman]
[Node 98 | Parent : 94 | Child : R | Depth : 19 | TerminalNode | Direction : RIGHT]
[Node 53 | Parent : 52 | Child : L | Depth : 20 | TerminalNode | Direction : LEFT]
[Node 54 | Parent : 52 | Child : R | Depth : 20 | IfNode | Tester : CheckWallDownToPacman]
[Node 66 | Parent : 65 | Child : L | Depth : 20 | IfNode | Tester : CheckGhostIsClose]
[Node 69 | Parent : 65 | Child : R | Depth : 20 | IfNode | Tester : CheckPacgumLeftToPacman]
[Node 73 | Parent : 72 | Child : L | Depth : 20 | TerminalNode | Direction : UP]
[Node 74 | Parent : 72 | Child : R | Depth : 20 | IfNode | Tester : CheckWallDownToPacman]
[Node 85 | Parent : 84 | Child : L | Depth : 20 | TerminalNode | Direction : LEFT]
[Node 86 | Parent : 84 | Child : R | Depth : 20 | IfNode | Tester : CheckGhostRightToPacman]
[Node 92 | Parent : 91 | Child : L | Depth : 20 | TerminalNode | Direction : RIGHT]
[Node 93 | Parent : 91 | Child : R | Depth : 20 | TerminalNode | Direction : LEFT]
[Node 96 | Parent : 95 | Child : L | Depth : 20 | TerminalNode | Direction : UP]
[Node 97 | Parent : 95 | Child : R | Depth : 20 | TerminalNode | Direction : RIGHT]
[Node 55 | Parent : 54 | Child : L | Depth : 21 | IfNode | Tester : CheckWallDownToPacman]
[Node 62 | Parent : 54 | Child : R | Depth : 21 | TerminalNode | Direction : UP]
[Node 67 | Parent : 66 | Child : L | Depth : 21 | TerminalNode | Direction : LEFT]
[Node 68 | Parent : 66 | Child : R | Depth : 21 | TerminalNode | Direction : UP]
[Node 70 | Parent : 69 | Child : L | Depth : 21 | TerminalNode | Direction : UP]
[Node 71 | Parent : 69 | Child : R | Depth : 21 | TerminalNode | Direction : DOWN]
[Node 75 | Parent : 74 | Child : L | Depth : 21 | TerminalNode | Direction : LEFT]
[Node 76 | Parent : 74 | Child : R | Depth : 21 | TerminalNode | Direction : UP]
[Node 87 | Parent : 86 | Child : L | Depth : 21 | TerminalNode | Direction : LEFT]
[Node 88 | Parent : 86 | Child : R | Depth : 21 | IfNode | Tester : CheckGhostUpToPacman]
[Node 56 | Parent : 55 | Child : L | Depth : 22 | IfNode | Tester : CheckGhostRightToPacman]
[Node 59 | Parent : 55 | Child : R | Depth : 22 | IfNode | Tester : CheckWallRightToPacman]
[Node 89 | Parent : 88 | Child : L | Depth : 22 | TerminalNode | Direction : UP]
[Node 90 | Parent : 88 | Child : R | Depth : 22 | TerminalNode | Direction : RIGHT]
[Node 57 | Parent : 56 | Child : L | Depth : 23 | TerminalNode | Direction : LEFT]
[Node 58 | Parent : 56 | Child : R | Depth : 23 | TerminalNode | Direction : LEFT]
[Node 60 | Parent : 59 | Child : L | Depth : 23 | TerminalNode | Direction : UP]
[Node 61 | Parent : 59 | Child : R | Depth : 23 | TerminalNode | Direction : LEFT]
************************************************************************
Pacman N°60
[Node 1 | Parent : ø | Child : ø | Depth : 0 | IfNode | Tester : CheckWallDownToPacman]
[Node 2 | Parent : 1 | Child : L | Depth : 1 | IfNode | Tester : CheckGhostDownToPacman]
[Node 371 | Parent : 1 | Child : R | Depth : 1 | IfNode | Tester : CheckGhostIsClose]
[Node 3 | Parent : 2 | Child : L | Depth : 2 | IfNode | Tester : CheckPacgumIsClose]
[Node 368 | Parent : 2 | Child : R | Depth : 2 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 372 | Parent : 371 | Child : L | Depth : 2 | IfNode | Tester : CheckGhostUpToPacman]
[Node 375 | Parent : 371 | Child : R | Depth : 2 | TerminalNode | Direction : RIGHT]
[Node 4 | Parent : 3 | Child : L | Depth : 3 | IfNode | Tester : CheckWallDownToPacman]
[Node 53 | Parent : 3 | Child : R | Depth : 3 | IfNode | Tester : CheckPacgumRightToPacman]
[Node 369 | Parent : 368 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 370 | Parent : 368 | Child : R | Depth : 3 | TerminalNode | Direction : LEFT]
[Node 373 | Parent : 372 | Child : L | Depth : 3 | TerminalNode | Direction : UP]
[Node 374 | Parent : 372 | Child : R | Depth : 3 | TerminalNode | Direction : LEFT]
[Node 5 | Parent : 4 | Child : L | Depth : 4 | IfNode | Tester : CheckGhostDownToPacman]
[Node 10 | Parent : 4 | Child : R | Depth : 4 | IfNode | Tester : CheckGhostIsClose]
[Node 54 | Parent : 53 | Child : L | Depth : 4 | TerminalNode | Direction : LEFT]
[Node 55 | Parent : 53 | Child : R | Depth : 4 | IfNode | Tester : CheckGhostLeftToPacman]
[Node 6 | Parent : 5 | Child : L | Depth : 5 | IfNode | Tester : CheckPacgumIsClose]
[Node 9 | Parent : 5 | Child : R | Depth : 5 | TerminalNode | Direction : UP]
[Node 11 | Parent : 10 | Child : L | Depth : 5 | IfNode | Tester : CheckPacgumDownToPacman]
[Node 16 | Parent : 10 | Child : R | Depth : 5 | IfNode | Tester : CheckWallDownToPacman]
[Node 56 | Parent : 55 | Child : L | Depth : 5 | IfNode | Tester : CheckPacgumUpToPacman]
[Node 367 | Parent : 55 | Child : R | Depth : 5 | TerminalNode | Direction : RIGHT]
[Node 7 | Parent : 6 | Child : L | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 8 | Parent : 6 | Child : R | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 12 | Parent : 11 | Child : L | Depth : 6 | TerminalNode | Direction : UP]
[Node 13 | Parent : 11 | Child : R | Depth : 6 | IfNode | Tester : CheckWallDownToPacman]
[Node 17 | Parent : 16 | Child : L | Depth : 6 | IfNode | Tester : CheckGhostDownToPacman]
[Node 50 | Parent : 16 | Child : R | Depth : 6 | IfNode | Tester : CheckGhostIsClose]
[Node 57 | Parent : 56 | Child : L | Depth : 6 | TerminalNode | Direction : LEFT]
[Node 58 | Parent : 56 | Child : R | Depth : 6 | IfNode | Tester : CheckWallDownToPacman]
[Node 14 | Parent : 13 | Child : L | Depth : 7 | TerminalNode | Direction : LEFT]
[Node 15 | Parent : 13 | Child : R | Depth : 7 | TerminalNode | Direction : UP]
[Node 18 | Parent : 17 | Child : L | Depth : 7 | IfNode | Tester : CheckPacgumIsClose]
[Node 47 | Parent : 17 | Child : R | Depth : 7 | IfNode | Tester : CheckGhostUpToPacman]
[Node 51 | Parent : 50 | Child : L | Depth : 7 | TerminalNode | Direction : DOWN]
[Node 52 | Parent : 50 | Child : R | Depth : 7 | TerminalNode | Direction : RIGHT]
[Node 59 | Parent : 58 | Child : L | Depth : 7 | IfNode | Tester : CheckGhostDownToPacman]
[Node 362 | Parent : 58 | Child : R | Depth : 7 | IfNode | Tester : CheckGhostIsClose]
